precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
11011,11011,11011,11,საგარეჯო,11,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,3,0.0094,813,331,94,273,0.4071,0.1156,0.3358,11,0.0332
11011,11011,11011,11,საგარეჯო,11,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,3,0.0094,813,331,94,273,0.4071,0.1156,0.3358,11,0.0332
11011,11011,11011,11,საგარეჯო,11,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,1,0.0031,813,331,94,273,0.4071,0.1156,0.3358,11,0.0332
11012,11012,11012,11,საგარეჯო,12,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,98,0.6125,276,166,72,145,0.6014,0.2609,0.5254,6,0.0361
11012,11012,11012,11,საგარეჯო,12,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,61,0.3813,276,166,72,145,0.6014,0.2609,0.5254,6,0.0361
11012,11012,11012,11,საგარეჯო,12,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,276,166,72,145,0.6014,0.2609,0.5254,6,0.0361
11012,11012,11012,11,საგარეჯო,12,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,0,0,276,166,72,145,0.6014,0.2609,0.5254,6,0.0361
11012,11012,11012,11,საგარეჯო,12,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,1,0.0063,276,166,72,145,0.6014,0.2609,0.5254,6,0.0361
11013,11013,11013,11,საგარეჯო,13,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,101,0.1365,973,798,399,766,0.8201,0.4101,0.7873,59,0.0739
11013,11013,11013,11,საგარეჯო,13,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,573,0.7743,973,798,399,766,0.8201,0.4101,0.7873,59,0.0739
11013,11013,11013,11,საგარეჯო,13,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,9,0.0122,973,798,399,766,0.8201,0.4101,0.7873,59,0.0739
11013,11013,11013,11,საგარეჯო,13,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,33,0.0446,973,798,399,766,0.8201,0.4101,0.7873,59,0.0739
11013,11013,11013,11,საგარეჯო,13,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,24,0.0324,973,798,399,766,0.8201,0.4101,0.7873,59,0.0739
