"district_id","party_id","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"9","gd","",2,258776,0.556066,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"9","unm","",2,206593,0.443934,1016608,480302,166012,388294,1002525,14083,0.472455,0.1633,0.381951,14867,0.030953
"national","european_georgia","",1,12821,0.007566,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","for_people","",1,349,0.000206,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","free_georgia","",1,792,0.000467,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","gakharia","",1,38196,0.022541,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","gd","",1,993526,0.586317,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","georgia_party","",1,153,9e-05,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","law_justice","",1,1477,0.000872,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","lelo","",1,5398,0.003186,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","mechiauri_united","",1,3667,0.002164,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","patriots","",1,2247,0.001326,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","third_force","",1,5453,0.003218,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","tribuna","",1,2439,0.001439,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
"national","unm","",1,628002,0.370608,3535262,1795936,620689,1433204,3496294,38968,0.508006,0.175571,0.405402,66063,0.036785
