"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","ბადრი ანთია",1,25,3455598,1489131,569700,1181362,3429019,26579,60580,1.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადრი ბარბაქაძე",1,86,3455598,1489131,569700,1181362,3429019,26579,60580,6.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადრი ზირაქაშვილი",1,42,3455598,1489131,569700,1181362,3429019,26579,60580,3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადრი კილასონია",1,19,3455598,1489131,569700,1181362,3429019,26579,60580,1.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადრი როყვა",1,184,3455598,1489131,569700,1181362,3429019,26579,60580,0.00013,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადურ ცისკარიშვილი",1,131,3455598,1489131,569700,1181362,3429019,26579,60580,9.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბადური რაქვიაშვილი",1,92,3455598,1489131,569700,1181362,3429019,26579,60580,6.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბარის ბალიან",1,106,3455598,1489131,569700,1181362,3429019,26579,60580,7.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბაქარი პავლიაშვილი",1,127,3455598,1489131,569700,1181362,3429019,26579,60580,9e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბაჩა კვირკველია",1,44,3455598,1489131,569700,1181362,3429019,26579,60580,3.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბაჩანა ნოზაძე",1,1,3455598,1489131,569700,1181362,3429019,26579,60580,1e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბახვა გელაშვილი",1,394,3455598,1489131,569700,1181362,3429019,26579,60580,0.000278,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბდულა შარიფოვია",1,8,3455598,1489131,569700,1181362,3429019,26579,60580,6e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბეგლარ წოწოლაშვილი",1,17,3455598,1489131,569700,1181362,3429019,26579,60580,1.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბეჟან ახალაძე",1,19,3455598,1489131,569700,1181362,3429019,26579,60580,1.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბეჟან ბერიძე",1,93,3455598,1489131,569700,1181362,3429019,26579,60580,6.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბეჟან გოგრაჭაძე",1,178,3455598,1489131,569700,1181362,3429019,26579,60580,0.000126,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესარიონ ესართია",1,128,3455598,1489131,569700,1181362,3429019,26579,60580,9e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესარიონ ხურციძე",1,75,3455598,1489131,569700,1181362,3429019,26579,60580,5.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკ ახალაია",1,304,3455598,1489131,569700,1181362,3429019,26579,60580,0.000215,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკ გიგაური",1,82,3455598,1489131,569700,1181362,3429019,26579,60580,5.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკ ღირდალაძე",1,3,3455598,1489131,569700,1181362,3429019,26579,60580,2e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკ ჯოლოხავა",1,34,3455598,1489131,569700,1181362,3429019,26579,60580,2.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკი დანელია",1,1426,3455598,1489131,569700,1181362,3429019,26579,60580,0.001007,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბესიკი ჩოკოშვილი",1,34,3455598,1489131,569700,1181362,3429019,26579,60580,2.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბექა ღუბიანური",1,22,3455598,1489131,569700,1181362,3429019,26579,60580,1.6e-05,0.430933,0.164863,0.341869,0.040681
