"selfgov_id","party_id","seats_pr","seats_smd","seats_mayor"
"44","unm",4,0,0
"45","gakharia",3,1,0
"45","gd",10,9,1
"45","labour",1,0,0
"45","lelo",1,0,0
"45","third_force",1,0,0
"45","unm",4,0,0
"46","citizens",1,0,0
"46","european_georgia",1,0,0
"46","gakharia",1,0,0
"46","gd",7,6,1
"46","lelo",1,0,0
"46","peoples_party",1,0,0
"46","third_force",1,0,0
"46","unm",1,0,0
"47","european_georgia",1,0,0
"47","gakharia",2,0,0
"47","gd",15,11,1
"47","lelo",1,0,0
"47","unm",3,0,0
"48","gakharia",2,0,0
"48","gd",13,11,1
"48","lelo",1,0,0
"48","unm",6,0,0
"49","european_georgia",2,1,0
"49","gakharia",1,0,0
"49","gd",10,8,1
"49","unm",7,1,0
"50","gakharia",1,0,0
"50","gd",19,11,1
"50","unm",2,0,0
"51","gakharia",2,0,0
"51","gd",14,13,1
"51","unm",10,0,0
"52","gakharia",1,0,0
"52","gd",9,9,1
"52","lelo",1,0,0
"52","unm",7,0,0
"53","european_georgia",1,0,0
"53","gd",13,10,1
"53","unm",6,0,0
"54","gakharia",1,0,0
"54","gd",13,10,1
"54","lelo",1,0,0
"54","unm",7,0,0
"55","european_georgia",3,1,0
"55","gakharia",1,0,0
"55","gd",11,9,1
"55","unm",5,0,0
"56","gakharia",2,0,0
"56","gd",15,11,1
"56","lelo",1,0,0
"56","third_force",1,0,0
"56","unm",5,0,0
"57","gakharia",1,0,0
"57","gd",9,8,1
"57","lelo",1,0,0
"57","unm",7,1,0
"58","gakharia",1,0,0
"58","gd",13,11,1
"58","unm",12,1,0
"59","gakharia",2,0,0
"59","gd",13,5,1
"59","third_force",1,0,0
"59","unm",12,2,0
"60","gakharia",3,0,0
"60","gd",18,10,1
"60","unm",9,1,0
"61","gakharia",2,0,0
"61","gd",11,9,1
"61","lelo",1,0,0
"61","unm",4,0,0
"62","gakharia",3,0,0
"62","gd",14,11,1
"62","peoples_party",1,0,0
"62","unm",6,0,0
"63","gakharia",2,0,0
"63","gd",9,9,1
"63","girchi",1,0,0
"63","labour",1,0,0
"63","unm",7,1,0
"64","gakharia",4,0,0
"64","gd",9,5,1
"64","unm",9,4,0
"65","european_socialists",2,1,0
"65","gakharia",4,1,0
"65","gd",10,4,1
"65","unm",8,2,0
"66","gakharia",4,0,0
"66","gd",11,10,1
"66","unm",9,2,0
"67","gakharia",3,0,0
"67","gd",13,6,1
"67","unm",14,8,0
"68","gakharia",3,0,0
"68","gd",7,3,0
"68","lelo",1,0,0
"68","unm",7,1,1
"69","gakharia",4,0,0
"69","gd",7,4,1
"69","lelo",1,0,0
"69","unm",6,0,0
"70","gakharia",4,0,0
"70","gd",14,6,1
"70","unm",10,1,0
"79","gakharia",3,0,0
"79","gd",12,4,1
"79","lelo",1,0,0
"79","unm",12,3,0
"80","gakharia",1,0,0
"80","gd",8,6,1
"80","lelo",1,0,0
"80","unm",4,0,0
"81","gakharia",2,0,0
"81","gd",13,11,1
"81","unm",11,2,0
"82","gakharia",1,0,0
"82","gd",7,7,1
"82","lelo",1,0,0
"82","unm",5,0,0
"83","gakharia",3,0,0
"83","gd",7,5,1
"83","unm",6,1,0
"84","gakharia",1,0,0
"84","gd",7,6,1
"84","lelo",1,0,0
"84","third_force",1,0,0
"84","unm",6,0,0
"15","independent",0,1,0
"24","independent",0,1,0
"25","independent",0,1,0
"37","european_georgia",0,1,0
"65","european_georgia",0,1,0
