precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79005,79005,79005,79,ბათუმი,5,unm,ზაზა გოგოტიშვილი,91,0.7712,994,122,53,108,0.1227,0.0533,0.1087,4,0.0328
79005,79005,79005,79,ბათუმი,5,christian_democrats_2008,ნიაზ ზოსიძე,20,0.1695,994,122,53,108,0.1227,0.0533,0.1087,4,0.0328
79006,79006,79006,79,ბათუმი,6,adj2008_united_communist,თეიმურაზ სამნიძე,23,0.0505,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79006,79006,79006,79,ბათუმი,6,adj2008_kartuli_dasi,ბესიკი რატიანი,12,0.0264,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79006,79006,79006,79,ბათუმი,6,industry_sakartvelo,ირაკლი ჯაში,33,0.0725,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79006,79006,79006,79,ბათუმი,6,adj2008_chven_tviton,ზურაბ ცეცხლაძე,6,0.0132,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79006,79006,79006,79,ბათუმი,6,unm,ზაზა გოგოტიშვილი,295,0.6484,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79006,79006,79006,79,ბათუმი,6,christian_democrats_2008,ნიაზ ზოსიძე,86,0.189,1200,473,143,385,0.3942,0.1192,0.3208,18,0.0381
79007,79007,79007,79,ბათუმი,7,adj2008_united_communist,თეიმურაზ სამნიძე,5,0.0155,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79007,79007,79007,79,ბათუმი,7,adj2008_kartuli_dasi,ბესიკი რატიანი,21,0.065,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79007,79007,79007,79,ბათუმი,7,industry_sakartvelo,ირაკლი ჯაში,17,0.0526,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79007,79007,79007,79,ბათუმი,7,adj2008_chven_tviton,ზურაბ ცეცხლაძე,13,0.0402,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79007,79007,79007,79,ბათუმი,7,unm,ზაზა გოგოტიშვილი,196,0.6068,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79007,79007,79007,79,ბათუმი,7,christian_democrats_2008,ნიაზ ზოსიძე,71,0.2198,1041,334,93,276,0.3208,0.0893,0.2651,9,0.0269
79008,79008,79008,79,ბათუმი,8,adj2008_united_communist,თეიმურაზ სამნიძე,12,0.0292,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79008,79008,79008,79,ბათუმი,8,adj2008_kartuli_dasi,ბესიკი რატიანი,26,0.0633,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79008,79008,79008,79,ბათუმი,8,industry_sakartvelo,ირაკლი ჯაში,6,0.0146,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79008,79008,79008,79,ბათუმი,8,adj2008_chven_tviton,ზურაბ ცეცხლაძე,10,0.0243,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79008,79008,79008,79,ბათუმი,8,unm,ზაზა გოგოტიშვილი,306,0.7445,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79008,79008,79008,79,ბათუმი,8,christian_democrats_2008,ნიაზ ზოსიძე,51,0.1241,1462,427,163,368,0.2921,0.1115,0.2517,16,0.0375
79009,79009,79009,79,ბათუმი,9,adj2008_united_communist,თეიმურაზ სამნიძე,11,0.0293,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79009,79009,79009,79,ბათუმი,9,adj2008_kartuli_dasi,ბესიკი რატიანი,26,0.0691,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79009,79009,79009,79,ბათუმი,9,industry_sakartvelo,ირაკლი ჯაში,17,0.0452,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79009,79009,79009,79,ბათუმი,9,adj2008_chven_tviton,ზურაბ ცეცხლაძე,13,0.0346,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79009,79009,79009,79,ბათუმი,9,unm,ზაზა გოგოტიშვილი,239,0.6356,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79009,79009,79009,79,ბათუმი,9,christian_democrats_2008,ნიაზ ზოსიძე,70,0.1862,1361,396,114,329,0.291,0.0838,0.2417,20,0.0505
79010,79010,79010,79,ბათუმი,10,adj2008_united_communist,თეიმურაზ სამნიძე,20,0.0386,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79010,79010,79010,79,ბათუმი,10,adj2008_kartuli_dasi,ბესიკი რატიანი,31,0.0598,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79010,79010,79010,79,ბათუმი,10,industry_sakartvelo,ირაკლი ჯაში,31,0.0598,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79010,79010,79010,79,ბათუმი,10,adj2008_chven_tviton,ზურაბ ცეცხლაძე,8,0.0154,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79010,79010,79010,79,ბათუმი,10,unm,ზაზა გოგოტიშვილი,385,0.7432,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79010,79010,79010,79,ბათუმი,10,christian_democrats_2008,ნიაზ ზოსიძე,43,0.083,1407,540,143,440,0.3838,0.1016,0.3127,22,0.0407
79011,79011,79011,79,ბათუმი,11,adj2008_united_communist,თეიმურაზ სამნიძე,5,0.0131,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79011,79011,79011,79,ბათუმი,11,adj2008_kartuli_dasi,ბესიკი რატიანი,20,0.0525,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79011,79011,79011,79,ბათუმი,11,industry_sakartvelo,ირაკლი ჯაში,8,0.021,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79011,79011,79011,79,ბათუმი,11,adj2008_chven_tviton,ზურაბ ცეცხლაძე,5,0.0131,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79011,79011,79011,79,ბათუმი,11,unm,ზაზა გოგოტიშვილი,283,0.7428,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79011,79011,79011,79,ბათუმი,11,christian_democrats_2008,ნიაზ ზოსიძე,60,0.1575,1201,393,139,342,0.3272,0.1157,0.2848,12,0.0305
79012,79012,79012,79,ბათუმი,12,adj2008_united_communist,თეიმურაზ სამნიძე,15,0.0336,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79012,79012,79012,79,ბათუმი,12,adj2008_kartuli_dasi,ბესიკი რატიანი,19,0.0425,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79012,79012,79012,79,ბათუმი,12,industry_sakartvelo,ირაკლი ჯაში,6,0.0134,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79012,79012,79012,79,ბათუმი,12,adj2008_chven_tviton,ზურაბ ცეცხლაძე,10,0.0224,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79012,79012,79012,79,ბათუმი,12,unm,ზაზა გოგოტიშვილი,315,0.7047,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79012,79012,79012,79,ბათუმი,12,christian_democrats_2008,ნიაზ ზოსიძე,82,0.1834,1445,469,152,347,0.3246,0.1052,0.2401,22,0.0469
79013,79013,79013,79,ბათუმი,13,adj2008_united_communist,თეიმურაზ სამნიძე,13,0.0315,1518,435,180,398,0.2866,0.1186,0.2622,22,0.0506
79013,79013,79013,79,ბათუმი,13,adj2008_kartuli_dasi,ბესიკი რატიანი,19,0.046,1518,435,180,398,0.2866,0.1186,0.2622,22,0.0506
