"district_id","party_id","party_num","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"17","european_georgia","2","ლელა მენთეშაშვილი",1,1999,0.076873,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","free_democrats","20","გელა გელაშვილი",1,833,0.032034,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","gd","41","შოთა ნარეკლიშვილი",1,14245,0.5478,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","labour","10","ნიკოლოზ ვარდოშვილი",1,800,0.030764,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","new_christian_democrats","23","ფიქრია შაბურიშვილი",1,54,0.002077,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","traditionalists","18","დევი სამხარაძე",1,146,0.005615,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","unm","5","გიორგი ბოტკოველი",1,7207,0.27715,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"17","vashadze_2017","27","თამარი ლამაზოშვილი",1,144,0.005538,55928,27283,8997,20834,55580,348,0.487824,0.160868,0.372515,1228,0.04501
"18","burjanadze_democratic","3","ირაკლი უჯირაული",1,676,0.047121,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","european_georgia","2","გელა ჭვრიტიძე",1,1515,0.105604,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","gd","41","იოსები ქარუმაშვილი",1,8523,0.594103,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","labour","10","ნიკოლოზი ბართიშვილი",1,353,0.024606,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","patriots","8","თინათინი მოზაიძე",1,504,0.035132,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","traditionalists","18","ბიძინა გოგოლაშვილი",1,15,0.001046,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","unm","5","შაქრო ტერტერაშვილი",1,2703,0.188415,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"18","vashadze_2017","27","ჯუმბერ შაშიაშვილი",1,57,0.003973,30186,15082,4837,11601,30069,117,0.499636,0.16024,0.384317,708,0.046943
"19","gd","41","ლელა ქიტესაშვილი",1,3076,0.499919,10827,6379,2134,5025,10777,50,0.589175,0.1971,0.464117,220,0.034488
"19","mechiauri","7","თამაზ მეჭიაური",1,3077,0.500081,10827,6379,2134,5025,10777,50,0.589175,0.1971,0.464117,220,0.034488
