precinct_id,district_id,district_name_en,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
1010,1,Mtatsminda,10,saakashvili,194,0.257636,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1010,1,Mtatsminda,10,gamkrelidze,86,0.11421,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1010,1,Mtatsminda,10,natelashvili,38,0.050465,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1010,1,Mtatsminda,10,patarkatsishvili,36,0.047809,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1010,1,Mtatsminda,10,maisashvili,13,0.017264,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1010,1,Mtatsminda,10,sarishvili_chanturia,1,0.001328,1654,805,181,630,1603,51,0.486699,0.109432,0.380895,13,0.016149
1011,1,Mtatsminda,11,gachechiladze,372,0.481865,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,saakashvili,265,0.343264,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,natelashvili,53,0.068653,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,gamkrelidze,41,0.053109,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,patarkatsishvili,23,0.029793,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,maisashvili,17,0.022021,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1011,1,Mtatsminda,11,sarishvili_chanturia,1,0.001295,1540,839,233,737,1476,78,0.544805,0.151299,0.478571,7,0.008343
1012,1,Mtatsminda,12,gachechiladze,444,0.529833,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,saakashvili,245,0.292363,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,gamkrelidze,74,0.088305,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,natelashvili,34,0.040573,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,patarkatsishvili,19,0.022673,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,maisashvili,18,0.02148,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1012,1,Mtatsminda,12,sarishvili_chanturia,4,0.004773,1538,849,196,670,1493,47,0.552016,0.127438,0.435631,8,0.009423
1013,1,Mtatsminda,13,gachechiladze,303,0.514431,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
1013,1,Mtatsminda,13,saakashvili,148,0.251273,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
1013,1,Mtatsminda,13,patarkatsishvili,47,0.079796,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
1013,1,Mtatsminda,13,gamkrelidze,41,0.06961,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
1013,1,Mtatsminda,13,natelashvili,36,0.061121,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
1013,1,Mtatsminda,13,maisashvili,12,0.020374,1300,663,183,559,1235,75,0.51,0.140769,0.43,24,0.036199
