precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79013,79013,79013,79,ბათუმი,13,adj2008_kartuli_dasi,16,0.0389,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,industry_sakartvelo,15,0.0365,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,adj2008_chven_tviton,12,0.0292,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,unm,265,0.6448,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,conservatives,0,0,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,adj2008_georgian_politics,0,0,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79013,79013,79013,79,ბათუმი,13,christian_democrats_2008,88,0.2141,1518,435,180,398,0.2866,0.1186,0.2622,24,0.0552
79014,79014,79014,79,ბათუმი,14,adj2008_united_communist,14,0.0252,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,adj2008_kartuli_dasi,11,0.0198,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,industry_sakartvelo,14,0.0252,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,adj2008_chven_tviton,8,0.0144,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,unm,456,0.8201,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,conservatives,0,0,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,adj2008_georgian_politics,0,0,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79014,79014,79014,79,ბათუმი,14,christian_democrats_2008,53,0.0953,1244,582,283,508,0.4678,0.2275,0.4084,26,0.0447
79015,79015,79015,79,ბათუმი,15,adj2008_united_communist,10,0.0108,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,adj2008_kartuli_dasi,12,0.013,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,industry_sakartvelo,10,0.0108,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,adj2008_chven_tviton,9,0.0098,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,unm,803,0.87,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,conservatives,0,0,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,adj2008_georgian_politics,0,0,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79015,79015,79015,79,ბათუმი,15,christian_democrats_2008,79,0.0856,2006,943,540,841,0.4701,0.2692,0.4192,17,0.018
79016,79016,79016,79,ბათუმი,16,adj2008_united_communist,13,0.0328,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,adj2008_kartuli_dasi,5,0.0126,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,industry_sakartvelo,3,0.0076,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,adj2008_chven_tviton,5,0.0126,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,unm,286,0.7222,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,conservatives,0,0,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,adj2008_georgian_politics,0,0,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79016,79016,79016,79,ბათუმი,16,christian_democrats_2008,84,0.2121,1129,415,189,380,0.3676,0.1674,0.3366,19,0.0458
79017,79017,79017,79,ბათუმი,17,adj2008_united_communist,9,0.0164,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,adj2008_kartuli_dasi,9,0.0164,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,industry_sakartvelo,13,0.0237,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,adj2008_chven_tviton,7,0.0128,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,unm,397,0.7245,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,conservatives,0,0,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,adj2008_georgian_politics,0,0,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79017,79017,79017,79,ბათუმი,17,christian_democrats_2008,113,0.2062,1450,562,267,478,0.3876,0.1841,0.3297,14,0.0249
79018,79018,79018,79,ბათუმი,18,adj2008_united_communist,10,0.0219,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,adj2008_kartuli_dasi,12,0.0263,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,industry_sakartvelo,5,0.0109,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,adj2008_chven_tviton,17,0.0372,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,unm,328,0.7177,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,conservatives,0,0,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,adj2008_georgian_politics,0,0,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79018,79018,79018,79,ბათუმი,18,christian_democrats_2008,85,0.186,1533,472,245,401,0.3079,0.1598,0.2616,15,0.0318
79019,79019,79019,79,ბათუმი,19,adj2008_united_communist,46,0.0991,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,adj2008_kartuli_dasi,8,0.0172,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,industry_sakartvelo,7,0.0151,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,adj2008_chven_tviton,16,0.0345,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,unm,319,0.6875,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,conservatives,0,0,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,adj2008_georgian_politics,0,0,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79019,79019,79019,79,ბათუმი,19,christian_democrats_2008,68,0.1466,1446,485,223,416,0.3354,0.1542,0.2877,21,0.0433
79020,79020,79020,79,ბათუმი,20,adj2008_united_communist,10,0.0224,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,adj2008_kartuli_dasi,1,0.0022,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,industry_sakartvelo,7,0.0157,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,adj2008_chven_tviton,12,0.0269,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,unm,323,0.7242,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,conservatives,0,0,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,adj2008_georgian_politics,0,0,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79020,79020,79020,79,ბათუმი,20,christian_democrats_2008,93,0.2085,1465,455,244,408,0.3106,0.1666,0.2785,9,0.0198
79021,79021,79021,79,ბათუმი,21,adj2008_united_communist,13,0.0277,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,adj2008_kartuli_dasi,3,0.0064,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,industry_sakartvelo,10,0.0213,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,adj2008_chven_tviton,12,0.0256,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,unm,334,0.7122,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,conservatives,0,0,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
79021,79021,79021,79,ბათუმი,21,adj2008_georgian_politics,0,0,1552,480,260,427,0.3093,0.1675,0.2751,11,0.0229
