district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
3,საბურთალოს,peoples_movement_2012,7,0.0001,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,peoples_party,29,0.0003,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,sports_union_2012,96,0.0011,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,unm,22539,0.2506,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
3,საბურთალოს,workers_socialist,40,0.0004,133590,92184,33158,75322,128545,5045,0.6901,0.2482,0.5638,2158,0.0234
4,კრწანისის,christian_democrats_2012,344,0.013,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,fair_georgia_2012,64,0.0024,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,free_georgia,82,0.0031,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,freedom_gamsakhurdia,13,0.0005,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,future_georgia,15,0.0006,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,gd,15503,0.5845,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,georgian_group,39,0.0015,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,kostava_society,18,0.0007,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,labour,302,0.0114,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,ndp_2012,27,0.001,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,new_rights_2012,94,0.0035,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,peoples_movement_2012,3,0.0001,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,peoples_party,8,0.0003,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,sports_union_2012,20,0.0008,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,unm,9991,0.3767,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
4,კრწანისის,workers_socialist,2,0.0001,48896,27341,10408,22020,47039,1857,0.5592,0.2129,0.4503,786,0.0287
5,ისნის,christian_democrats_2012,1052,0.0165,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,fair_georgia_2012,92,0.0014,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,free_georgia,164,0.0026,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,freedom_gamsakhurdia,21,0.0003,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,future_georgia,23,0.0004,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,gd,41125,0.6458,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,georgian_group,83,0.0013,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,kostava_society,39,0.0006,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,labour,910,0.0143,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,ndp_2012,56,0.0009,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,new_rights_2012,213,0.0033,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,peoples_movement_2012,10,0.0002,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,peoples_party,16,0.0003,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,sports_union_2012,65,0.001,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,unm,19778,0.3106,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
5,ისნის,workers_socialist,30,0.0005,118699,65159,25710,56113,117804,895,0.5489,0.2166,0.4727,1421,0.0218
6,სამგორის,christian_democrats_2012,1916,0.0221,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,fair_georgia_2012,114,0.0013,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,free_georgia,196,0.0023,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,freedom_gamsakhurdia,38,0.0004,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,future_georgia,24,0.0003,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,gd,55845,0.6451,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,georgian_group,107,0.0012,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,kostava_society,55,0.0006,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,labour,1330,0.0154,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,ndp_2012,60,0.0007,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,new_rights_2012,241,0.0028,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,peoples_movement_2012,24,0.0003,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,peoples_party,25,0.0003,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,sports_union_2012,57,0.0007,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,unm,26497,0.3061,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
6,სამგორის,workers_socialist,37,0.0004,162296,88906,37139,73914,154621,7675,0.5478,0.2288,0.4554,2283,0.0257
7,ჩუღურეთის,christian_democrats_2012,526,0.0144,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,fair_georgia_2012,37,0.001,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,free_georgia,149,0.0041,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,freedom_gamsakhurdia,30,0.0008,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,future_georgia,19,0.0005,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,gd,24956,0.6836,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,georgian_group,72,0.002,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,kostava_society,30,0.0008,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,labour,513,0.0141,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,ndp_2012,70,0.0019,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,new_rights_2012,159,0.0044,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,peoples_movement_2012,7,0.0002,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,peoples_party,7,0.0002,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,sports_union_2012,26,0.0007,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,unm,9882,0.2707,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
7,ჩუღურეთის,workers_socialist,22,0.0006,60063,37524,14998,32102,58807,1256,0.6247,0.2497,0.5345,959,0.0256
8,დიდუბის,christian_democrats_2012,641,0.0131,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,fair_georgia_2012,13,0.0003,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,free_georgia,265,0.0054,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,freedom_gamsakhurdia,28,0.0006,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,future_georgia,21,0.0004,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,gd,34359,0.7039,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,georgian_group,100,0.002,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,kostava_society,38,0.0008,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,labour,645,0.0132,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,ndp_2012,61,0.0012,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,new_rights_2012,239,0.0049,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,peoples_movement_2012,7,0.0001,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,peoples_party,32,0.0007,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,sports_union_2012,38,0.0008,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,unm,12282,0.2516,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
8,დიდუბის,workers_socialist,40,0.0008,75457,50194,20007,43716,71664,3793,0.6652,0.2651,0.5793,1347,0.0268
9,ნაძალადევის,christian_democrats_2012,1449,0.017,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,fair_georgia_2012,97,0.0011,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,free_georgia,309,0.0036,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,freedom_gamsakhurdia,42,0.0005,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,future_georgia,21,0.0002,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,gd,61794,0.726,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,georgian_group,154,0.0018,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,kostava_society,66,0.0008,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,labour,1272,0.0149,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,ndp_2012,83,0.001,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,new_rights_2012,273,0.0032,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,peoples_movement_2012,16,0.0002,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,peoples_party,14,0.0002,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,sports_union_2012,70,0.0008,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,unm,19437,0.2284,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
9,ნაძალადევის,workers_socialist,22,0.0003,141441,87131,35040,74359,140467,974,0.616,0.2477,0.5257,1895,0.0217
10,გლდანის,christian_democrats_2012,1539,0.0177,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
