"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"12","workers_council_2014",0,54361,25538,8620,18147,54147,214,1121,0,0.469785,0.15857,0.333824,0.043895
"13","burjanadze_united_opposition_2014",1280,31206,15086,5456,11544,30949,257,483,0.087791,0.483433,0.174838,0.369929,0.032016
"13","christian_democrats_2014",61,31206,15086,5456,11544,30949,257,483,0.004184,0.483433,0.174838,0.369929,0.032016
"13","freedom_zviads_way_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","future_georgia_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","gd",9265,31206,15086,5456,11544,30949,257,483,0.63546,0.483433,0.174838,0.369929,0.032016
"13","georgian_party_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","georgias_way_2014",46,31206,15086,5456,11544,30949,257,483,0.003155,0.483433,0.174838,0.369929,0.032016
"13","greens_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","kostava_society",619,31206,15086,5456,11544,30949,257,483,0.042455,0.483433,0.174838,0.369929,0.032016
"13","labour",400,31206,15086,5456,11544,30949,257,483,0.027435,0.483433,0.174838,0.369929,0.032016
"13","nonparliamentary_opposition_2014",101,31206,15086,5456,11544,30949,257,483,0.006927,0.483433,0.174838,0.369929,0.032016
"13","our_georgia_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","patriots",433,31206,15086,5456,11544,30949,257,483,0.029698,0.483433,0.174838,0.369929,0.032016
"13","peoples_movement_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","peoples_party_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","reformers_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","sakhalkho_party_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","self_governance_people_2014",7,31206,15086,5456,11544,30949,257,483,0.00048,0.483433,0.174838,0.369929,0.032016
"13","ufali_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","unity_hall_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"13","unm",2316,31206,15086,5456,11544,30949,257,483,0.158848,0.483433,0.174838,0.369929,0.032016
