precinct_id,precinct_key,district_id,electoral_district_id,vote_type,district_name_ka,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
82034,82034,82034,82,pr,შუახევი,34,267,244,0.9139,76,135,262,5,0.2846,0.5056,0,0
82035,82035,82035,82,pr,შუახევი,35,209,188,0.8995,80,150,204,5,0.3828,0.7177,0,0
82036,82036,82036,82,pr,შუახევი,36,343,183,0.5335,70,140,338,5,0.2041,0.4082,0,0
82037,82037,82037,82,pr,შუახევი,37,279,250,0.8961,48,106,274,5,0.172,0.3799,13,0.052
82038,82038,82038,82,pr,შუახევი,38,423,357,0.844,138,210,418,5,0.3262,0.4965,0,0
82039,82039,82039,82,pr,შუახევი,39,470,313,0.666,90,205,467,3,0.1915,0.4362,16,0.0511
82040,82040,82040,82,pr,შუახევი,40,276,264,0.9565,84,145,273,3,0.3043,0.5254,0,0
82041,82041,82041,82,pr,შუახევი,41,372,264,0.7097,72,165,369,3,0.1935,0.4435,2,0.0076
82042,82042,82042,82,pr,შუახევი,42,345,318,0.9217,78,204,340,5,0.2261,0.5913,0,0
82043,82043,82043,82,pr,შუახევი,43,400,60,0.15,15,42,395,5,0.0375,0.105,0,0
82044,82044,82044,82,pr,შუახევი,44,138,129,0.9348,81,101,135,3,0.587,0.7319,1,0.0078
82045,82045,82045,82,pr,შუახევი,45,201,122,0.607,25,73,196,5,0.1244,0.3632,1,0.0082
82046,82046,82046,82,pr,შუახევი,46,289,173,0.5986,62,120,279,10,0.2145,0.4152,10,0.0578
82047,82047,82047,82,pr,შუახევი,47,172,131,0.7616,37,85,168,4,0.2151,0.4942,1,0.0076
82048,82048,82048,82,pr,შუახევი,48,356,57,0.1601,12,23,355,1,0.0337,0.0646,0,0
82049,82049,82049,82,pr,შუახევი,49,101,89,0.8812,44,74,98,3,0.4356,0.7327,0,0
83001,83001,83001,83,pr,ხელვაჩაური,1,869,137,0.1577,31,119,866,3,0.0357,0.1369,3,0.0219
83002,83002,83002,83,pr,ხელვაჩაური,2,2571,298,0.1159,162,270,1159,1412,0.063,0.105,7,0.0235
83003,83003,83003,83,pr,ხელვაჩაური,3,1477,123,0.0833,44,109,1473,4,0.0298,0.0738,6,0.0488
83004,83004,83004,83,pr,ხელვაჩაური,4,919,80,0.0871,23,69,916,3,0.025,0.0751,6,0.075
83005,83005,83005,83,pr,ხელვაჩაური,5,1071,144,0.1345,43,133,1067,4,0.0401,0.1242,1,0.0069
83006,83006,83006,83,pr,ხელვაჩაური,6,1217,122,0.1002,50,112,1214,3,0.0411,0.092,2,0.0164
83007,83007,83007,83,pr,ხელვაჩაური,7,1264,183,0.1448,61,143,1261,3,0.0483,0.1131,6,0.0328
83008,83008,83008,83,pr,ხელვაჩაური,8,1255,153,0.1219,54,134,1254,1,0.043,0.1068,4,0.0261
83009,83009,83009,83,pr,ხელვაჩაური,9,1214,233,0.1919,86,178,1213,1,0.0708,0.1466,7,0.03
83010,83010,83010,83,pr,ხელვაჩაური,10,1049,173,0.1649,61,128,1046,3,0.0582,0.122,2,0.0116
83011,83011,83011,83,pr,ხელვაჩაური,11,1075,241,0.2242,96,205,1074,1,0.0893,0.1907,5,0.0207
83012,83012,83012,83,pr,ხელვაჩაური,12,1431,103,0.072,31,94,1426,5,0.0217,0.0657,1,0.0097
83013,83013,83013,83,pr,ხელვაჩაური,13,1386,125,0.0902,58,91,1380,6,0.0418,0.0657,1,0.008
83014,83014,83014,83,pr,ხელვაჩაური,14,1368,154,0.1126,64,124,1363,5,0.0468,0.0906,3,0.0195
83015,83015,83015,83,pr,ხელვაჩაური,15,1351,146,0.1081,51,112,1347,4,0.0377,0.0829,1,0.0068
83016,83016,83016,83,pr,ხელვაჩაური,16,1515,194,0.1281,61,147,1513,2,0.0403,0.097,4,0.0206
