district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
24,pr,დმანისის,23346,12254,0.5249,5710,10767,22927,419,0.2446,0.4612,511,0.0417
25,pr,წალკის,24616,8545,0.3471,4450,7350,24357,259,0.1808,0.2986,385,0.0451
26,pr,თეთრიწყაროს,22470,11992,0.5337,5350,10440,22055,415,0.2381,0.4646,391,0.0326
27,pr,მცხეთის,45937,30131,0.6559,11750,24764,44402,1535,0.2558,0.5391,838,0.0278
28,pr,დუშეთის,26940,16687,0.6194,6862,14072,26458,482,0.2547,0.5223,525,0.0315
29,pr,ყაზბეგის,5960,3490,0.5856,1317,2964,5810,150,0.221,0.4973,40,0.0115
30,pr,კასპის,40596,24641,0.607,10530,21092,40367,229,0.2594,0.5196,656,0.0266
32,pr,გორის,118343,71787,0.6066,28680,58649,112291,6052,0.2423,0.4956,2312,0.0322
33,pr,ქარელის,37787,23049,0.61,10476,20154,37572,215,0.2772,0.5334,657,0.0285
35,pr,ხაშურის,50921,25883,0.5083,9979,20967,50323,598,0.196,0.4118,793,0.0306
36,pr,ბორჯომის,27750,18022,0.6494,7706,16256,27567,183,0.2777,0.5858,479,0.0266
37,pr,ახალციხის,36945,23048,0.6238,9564,19222,36407,538,0.2589,0.5203,552,0.024
38,pr,ადიგენის,15394,10720,0.6964,4124,8972,15278,116,0.2679,0.5828,279,0.026
39,pr,ასპინძის,10404,7613,0.7317,3183,6614,10307,97,0.3059,0.6357,215,0.0282
40,pr,ახალქალაქის,41860,22328,0.5334,10426,18722,40814,1046,0.2491,0.4473,752,0.0337
41,pr,ნინოწმინდის,23038,13708,0.595,6225,12250,22811,227,0.2702,0.5317,720,0.0525
43,pr,ონის,7099,4686,0.6601,2322,4167,6885,214,0.3271,0.587,145,0.0309
44,pr,ამბროლაურის,12246,8950,0.7309,4886,8149,12111,135,0.399,0.6654,216,0.0241
45,pr,ცაგერის,12090,8369,0.6922,4700,7571,11962,128,0.3888,0.6262,255,0.0305
46,pr,ლენტეხის,6113,4075,0.6666,2199,3721,5988,125,0.3597,0.6087,101,0.0248
47,pr,მესტიის,8801,5889,0.6691,2862,5246,8469,332,0.3252,0.5961,166,0.0282
48,pr,ხარაგაულის,20444,15229,0.7449,6759,13615,20328,116,0.3306,0.666,430,0.0282
49,pr,თერჯოლის,35729,24444,0.6842,8965,20396,34711,1018,0.2509,0.5709,609,0.0249
50,pr,საჩხერის,44605,34160,0.7658,14302,29634,44184,421,0.3206,0.6644,449,0.0131
51,pr,ზესტაფონის,57420,38127,0.664,15967,33347,57050,370,0.2781,0.5808,850,0.0223
52,pr,ბაღდათის,23484,14889,0.634,6283,12750,23360,124,0.2675,0.5429,453,0.0304
53,pr,ვანის,26935,17404,0.6461,7337,14775,26818,117,0.2724,0.5485,674,0.0387
54,pr,სამტრედიის,48620,31932,0.6568,13670,27586,48362,258,0.2812,0.5674,828,0.0259
55,pr,ხონის,24827,16285,0.6559,6891,13606,24231,596,0.2776,0.548,458,0.0281
56,pr,ჭიათურის,45547,29724,0.6526,12990,26441,45226,321,0.2852,0.5805,702,0.0236
57,pr,ტყიბულის,24005,14937,0.6222,8372,13623,23841,164,0.3488,0.5675,444,0.0297
58,pr,წყალტუბოს,54653,31250,0.5718,13937,26685,53323,1330,0.255,0.4883,1051,0.0336
59,pr,ქუთაისის,167038,90752,0.5433,39441,75786,162732,4306,0.2361,0.4537,2223,0.0245
60,pr,ოზურგეთის,64613,43293,0.67,19753,37815,64365,248,0.3057,0.5853,1030,0.0238
61,pr,ლანჩხუთის,30267,22125,0.731,10087,19515,30130,137,0.3333,0.6448,481,0.0217
62,pr,ჩოხატაურის,18915,13641,0.7212,6141,12025,18809,106,0.3247,0.6357,388,0.0284
63,pr,აბაშის,22117,14612,0.6607,6537,12787,22024,93,0.2956,0.5782,332,0.0227
64,pr,სენაკის,45566,25504,0.5597,12435,21673,42710,2856,0.2729,0.4756,705,0.0276
65,pr,მარტვილის,34689,20675,0.596,7876,17301,34558,131,0.227,0.4987,777,0.0376
66,pr,ხობის,29572,18643,0.6304,8786,16553,29422,150,0.2971,0.5598,582,0.0312
67,pr,ზუგდიდის,130869,60599,0.4631,27716,51813,128470,2399,0.2118,0.3959,1953,0.0322
68,pr,წალენჯიხის,32218,16810,0.5218,7992,14521,32058,160,0.2481,0.4507,541,0.0322
69,pr,ჩხოროწყუს,23226,14902,0.6416,6942,13218,23127,99,0.2989,0.5691,576,0.0387
70,pr,ფოთის,42493,24648,0.58,11089,21433,41565,928,0.261,0.5044,677,0.0275
79,pr,ბათუმის,137349,80405,0.5854,29760,66802,133951,3398,0.2167,0.4864,2069,0.0257
80,pr,ქედის,15851,11273,0.7112,4022,9567,15751,100,0.2537,0.6036,318,0.0282
81,pr,ქობულეთის,69559,40071,0.5761,16497,34001,69239,320,0.2372,0.4888,1152,0.0287
82,pr,შუახევის,15339,9791,0.6383,3852,8379,15157,182,0.2511,0.5463,268,0.0274
83,pr,ხელვაჩაურის,46955,28076,0.5979,11150,23771,46597,358,0.2375,0.5063,766,0.0273
84,pr,ხულოს,24366,14696,0.6031,5145,12301,24235,131,0.2112,0.5048,428,0.0291
87,pr,საზღვარგარეთი,47390,41102,0.8673,5931,7976,44762,2628,0.1252,0.1683,146,0.0036
