precinct_id,district_id,registered,voted,turnout_pct,voted_noon,voted_5pm
84005,84005,531,331,0.6234,83,274
84006,84006,370,232,0.627,75,192
84007,84007,606,364,0.6007,91,300
84008,84008,440,296,0.6727,81,235
84009,84009,424,299,0.7052,78,269
84010,84010,637,453,0.7111,69,360
84011,84011,41,672,16.3902,129,566
84012,84012,352,248,0.7045,70,211
84013,84013,555,344,0.6198,73,278
84014,84014,342,228,0.6667,73,186
84015,84015,352,242,0.6875,76,211
84016,84016,634,393,0.6199,87,328
84017,84017,1101,775,0.7039,292,714
84018,84018,753,555,0.7371,145,475
84019,84019,213,144,0.6761,52,122
84020,84020,295,192,0.6508,68,159
84021,84021,236,114,0.4831,29,81
84022,84022,717,342,0.477,78,235
84023,84023,554,395,0.713,5,343
84024,84024,400,253,0.6325,72,209
84025,84025,451,276,0.612,77,243
84026,84026,428,275,0.6425,76,213
84027,84027,307,137,0.4463,47,112
84028,84028,235,144,0.6128,25,118
84029,84029,205,147,0.7171,60,121
84030,84030,478,295,0.6172,45,220
84031,84031,595,364,0.6118,90,255
84032,84032,325,188,0.5785,59,155
84033,84033,162,93,0.5741,34,57
84034,84034,246,151,0.6138,43,137
84035,84035,419,262,0.6253,91,213
84036,84036,406,246,0.6059,56,201
84037,84037,219,123,0.5616,36,93
84038,84038,432,259,0.5995,63,216
84039,84039,496,283,0.5706,58,218
84040,84040,535,336,0.628,82,278
84041,84041,583,320,0.5489,79,239
84042,84042,150,76,0.5067,21,63
84043,84043,199,88,0.4422,32,67
84044,84044,290,183,0.631,46,134
84045,84045,261,205,0.7854,34,138
84046,84046,122,80,0.6557,17,57
84047,84047,115,61,0.5304,29,47
84048,84048,387,238,0.615,64,192
84049,84049,354,261,0.7373,47,211
84050,84050,285,180,0.6316,24,150
84051,84051,165,106,0.6424,24,81
84052,84052,265,202,0.7623,62,168
84053,84053,302,186,0.6159,56,157
