district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
26,smd,თეთრიწყარო,20076,10378,0.5169,4131,7662,19844,232,0.2058,0.3816,333,0.0321
27,smd,მცხეთა,36639,25924,0.7076,8643,17558,35671,968,0.2359,0.4792,893,0.0344
28,smd,დუშეთი,26327,15699,0.5963,5751,11520,25930,397,0.2184,0.4376,433,0.0276
29,smd,ყაზბეგი,5999,3242,0.5404,1092,2676,5943,56,0.182,0.4461,69,0.0213
30,smd,კასპი,39074,25027,0.6405,9462,18709,38843,231,0.2422,0.4788,449,0.0179
31,smd,ახალგორი,6365,3956,0.6215,1702,3208,6260,105,0.2674,0.504,124,0.0313
32,smd,გორი,103742,61158,0.5895,20078,41393,99402,4340,0.1935,0.399,1261,0.0206
33,smd,ქარელი,36329,24621,0.6777,8965,18067,36076,253,0.2468,0.4973,491,0.0199
35,smd,ხაშური,49187,35386,0.7194,10949,24657,48561,626,0.2226,0.5013,635,0.0179
36,smd,ბორჯომი,27684,15939,0.5757,7949,13680,27507,177,0.2871,0.4941,427,0.0268
37,smd,ახალციხე,35797,29354,0.82,11652,23304,35464,333,0.3255,0.651,514,0.0175
38,smd,ადიგენი,15687,12479,0.7955,5808,10277,15563,124,0.3702,0.6551,115,0.0092
39,smd,ასპინძა,9816,8113,0.8265,3804,7044,9744,72,0.3875,0.7176,32,0.0039
40,smd,ახალქალაქი,40493,31890,0.7875,11894,24960,40474,19,0.2937,0.6164,308,0.0097
41,smd,ნინოწმინდა,21931,17891,0.8158,10175,16564,21931,0,0.464,0.7553,222,0.0124
43,smd,ონი,7202,4603,0.6391,2269,3700,7077,125,0.3151,0.5137,157,0.0341
44,smd,ამბროლაური,12669,8573,0.6767,4598,7241,12527,142,0.3629,0.5716,318,0.0371
45,smd,ცაგერი,12700,7570,0.5961,5136,6697,12541,159,0.4044,0.5273,436,0.0576
46,smd,ლენტეხი,6090,4368,0.7172,2344,3489,6019,71,0.3849,0.5729,27,0.0062
47,smd,მესტია,8697,5467,0.6286,3141,4837,8559,138,0.3612,0.5562,99,0.0181
48,smd,ხარაგაული,19420,12593,0.6485,5998,10184,19288,132,0.3089,0.5244,468,0.0372
49,smd,თერჯოლა,34331,19516,0.5685,8537,15602,34209,122,0.2487,0.4545,938,0.0481
50,smd,საჩხერე,40990,21650,0.5282,9416,16899,40714,276,0.2297,0.4123,472,0.0218
51,smd,ზესტაფონი,56978,27761,0.4872,11951,22238,56637,341,0.2097,0.3903,766,0.0276
52,smd,ბაღდათი,23256,13029,0.5602,6144,10464,23103,153,0.2642,0.4499,289,0.0222
53,smd,ვანი,26760,13600,0.5082,6371,10778,26625,135,0.2381,0.4028,584,0.0429
54,smd,სამტრედია,48007,23438,0.4882,10872,18280,47714,293,0.2265,0.3808,648,0.0276
55,smd,ხონი,25010,14150,0.5658,6338,10560,24713,297,0.2534,0.4222,426,0.0301
56,smd,ჭიათურა,46424,21540,0.464,10595,18356,46082,342,0.2282,0.3954,625,0.029
57,smd,ტყიბული,25244,13130,0.5201,7584,11192,25057,187,0.3004,0.4434,416,0.0317
58,smd,წყალტუბო,54476,23357,0.4288,9883,18402,53828,648,0.1814,0.3378,730,0.0313
59,smd,ქუთაისი,163064,67522,0.4141,29332,53342,157886,5178,0.1799,0.3271,1870,0.0277
60,smd,ოზურგეთი,64083,37377,0.5833,18007,30393,63802,281,0.281,0.4743,1156,0.0309
61,smd,ლანჩხუთი,30060,19053,0.6338,9386,15749,29909,151,0.3122,0.5239,752,0.0395
62,smd,ჩოხატაური,18803,13067,0.6949,6493,10887,18697,106,0.3453,0.579,333,0.0255
63,smd,აბაშა,21713,13672,0.6297,6249,10675,21638,75,0.2878,0.4916,309,0.0226
64,smd,სენაკი,44295,22871,0.5163,10067,16733,40184,4111,0.2273,0.3778,867,0.0379
65,smd,მარტვილი,34835,19475,0.5591,8148,15257,34685,150,0.2339,0.438,530,0.0272
66,smd,ხობი,29764,17189,0.5775,8373,14837,29611,153,0.2813,0.4985,554,0.0322
67,smd,ზუგდიდი,129821,51449,0.3963,21445,38516,127790,2031,0.1652,0.2967,1157,0.0225
68,smd,წალენჯიხა,32054,13877,0.4329,6358,10993,31903,151,0.1984,0.343,536,0.0386
69,smd,ჩხოროწყუ,23427,13549,0.5783,6812,10973,23345,82,0.2908,0.4684,314,0.0232
70,smd,ფოთი,40009,20743,0.5185,9410,16458,38965,1044,0.2352,0.4114,510,0.0246
79,smd,ბათუმი,97176,43321,0.4458,18144,36196,96319,857,0.1867,0.3725,1211,0.028
80,smd,ქედა,14915,9726,0.6521,4015,7723,14816,99,0.2692,0.5178,264,0.0271
81,smd,ქობულეთი,64827,35337,0.5451,14941,27485,64241,586,0.2305,0.424,891,0.0252
82,smd,შუახევი,15215,10157,0.6676,4564,7638,15056,159,0.3,0.502,324,0.0319
83,smd,ხელვაჩაური,71914,35302,0.4909,14841,27790,70975,939,0.2064,0.3864,3571,0.1012
84,smd,ხულო,23689,15361,0.6484,5704,11550,23576,113,0.2408,0.4876,291,0.0189
