precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
2068,2,pr,Vake,68,1215,606,0.498765,195,496,1175,54,0.160494,0.40823,7,0.011551
2069,2,pr,Vake,69,1066,607,0.569418,202,511,1025,53,0.189493,0.479362,10,0.016474
2070,2,pr,Vake,70,1365,710,0.520147,139,489,1308,57,0.101832,0.358242,15,0.021127
3001,3,pr,Saburtalo,1,0,0,0,0,0,0,0,0,0,0,0
3002,3,pr,Saburtalo,2,1399,823,0.588277,174,767,1350,49,0.124375,0.548249,10,0.012151
3003,3,pr,Saburtalo,3,1409,804,0.570617,190,560,1353,62,0.134847,0.397445,5,0.006219
3004,3,pr,Saburtalo,4,1491,799,0.535882,184,656,1416,75,0.123407,0.439973,10,0.012516
3005,3,pr,Saburtalo,5,1451,819,0.564438,184,627,1402,51,0.126809,0.432116,22,0.026862
3006,3,pr,Saburtalo,6,1414,813,0.574965,185,620,1372,42,0.130835,0.438472,9,0.01107
3007,3,pr,Saburtalo,7,1594,935,0.586575,212,770,1522,72,0.132999,0.483061,8,0.008556
3008,3,pr,Saburtalo,8,1440,742,0.515278,164,609,1395,47,0.113889,0.422917,5,0.006739
3009,3,pr,Saburtalo,9,1571,1034,0.65818,265,827,1503,68,0.168682,0.526416,10,0.009671
3010,3,pr,Saburtalo,10,1491,924,0.619718,205,635,1439,52,0.137492,0.425889,9,0.00974
3011,3,pr,Saburtalo,11,1449,814,0.561767,170,630,1375,73,0.117322,0.434783,15,0.018428
3012,3,pr,Saburtalo,12,1527,863,0.56516,216,660,1473,58,0.141454,0.43222,6,0.006952
3013,3,pr,Saburtalo,13,1455,816,0.560825,178,626,1365,94,0.122337,0.430241,44,0.053922
3014,3,pr,Saburtalo,14,1507,904,0.599867,219,650,1461,46,0.145322,0.431321,9,0.009956
3015,3,pr,Saburtalo,15,1416,858,0.605932,255,730,1384,40,0.180085,0.515537,58,0.067599
3016,3,pr,Saburtalo,16,1519,838,0.551679,163,695,1442,77,0.107307,0.457538,14,0.016706
3017,3,pr,Saburtalo,17,1474,748,0.507463,132,553,1431,43,0.089552,0.37517,7,0.009358
3018,3,pr,Saburtalo,18,1446,871,0.602351,233,690,1373,73,0.161134,0.477178,10,0.011481
3019,3,pr,Saburtalo,19,1408,827,0.587358,217,697,1347,61,0.154119,0.495028,7,0.008464
3020,3,pr,Saburtalo,20,1343,734,0.546538,146,552,1293,50,0.108712,0.41102,59,0.080381
3021,3,pr,Saburtalo,21,1418,780,0.550071,200,670,1365,53,0.141044,0.472496,10,0.012821
3022,3,pr,Saburtalo,22,730,730,1,243,630,1467,48,0.332877,0.863014,8,0.010959
3023,3,pr,Saburtalo,23,1147,588,0.512642,138,506,525,63,0.120314,0.441151,16,0.027211
3024,3,pr,Saburtalo,24,1488,774,0.520161,150,557,1412,76,0.100806,0.374328,20,0.02584
3025,3,pr,Saburtalo,25,1425,588,0.412632,173,521,1382,43,0.121404,0.365614,3,0.005102
3026,3,pr,Saburtalo,26,1244,748,0.601286,195,580,1208,42,0.156752,0.466238,14,0.018717
3027,3,pr,Saburtalo,27,1414,832,0.588402,220,710,1363,53,0.155587,0.502122,8,0.009615
3028,3,pr,Saburtalo,28,1455,874,0.600687,168,630,1422,33,0.115464,0.43299,9,0.010297
3029,3,pr,Saburtalo,29,1452,824,0.567493,217,670,1386,66,0.149449,0.461433,8,0.009709
3030,3,pr,Saburtalo,30,1357,762,0.561533,156,625,1274,83,0.114959,0.460575,9,0.011811
3031,3,pr,Saburtalo,31,1514,834,0.550859,219,688,1417,101,0.14465,0.454425,13,0.015588
3032,3,pr,Saburtalo,32,1830,1123,0.613661,264,763,1989,33,0.144262,0.41694,12,0.010686
3033,3,pr,Saburtalo,33,1542,805,0.522049,182,674,1414,128,0.118029,0.437095,7,0.008696
3034,3,pr,Saburtalo,34,2078,1351,0.650144,264,703,2574,49,0.127045,0.338306,20,0.014804
3035,3,pr,Saburtalo,35,1562,832,0.53265,248,632,1504,58,0.158771,0.404609,14,0.016827
3036,3,pr,Saburtalo,36,1509,851,0.56395,272,688,1450,59,0.180252,0.455931,4,0.0047
3037,3,pr,Saburtalo,37,1558,920,0.590501,310,789,1502,58,0.198973,0.506418,9,0.009783
3038,3,pr,Saburtalo,38,1442,779,0.540222,205,661,1382,60,0.142164,0.458391,11,0.014121
