"district_id","registered","main_list","special_list","voted_noon","voted_5pm","voted","invalid_ballots","turnout_pct","noon_pct","five_pct","invalid_pct"
"48",20260,20184,76,4914,10663,12727,540,0.628184,0.242547,0.526308,0.042429
"49",34648,34567,81,7242,15833,20482,786,0.591145,0.209016,0.456967,0.038375
"5",105121,104543,578,12115,26377,33947,1278,0.322933,0.115248,0.25092,0.037647
"50",44297,44018,279,8580,17614,22554,864,0.509154,0.193693,0.397634,0.038308
"51",56389,56108,281,8987,19123,24560,1064,0.435546,0.159375,0.339126,0.043322
"52",23193,22924,269,5087,10445,12920,754,0.557065,0.219333,0.450351,0.058359
"53",26379,26284,95,6705,12891,15717,732,0.595815,0.254179,0.488684,0.046574
"54",47541,47321,220,8972,16925,21617,784,0.454702,0.188721,0.356008,0.036268
"55",23592,23484,108,6095,12234,14881,558,0.630765,0.25835,0.518566,0.037497
"56",44867,44542,325,7803,16309,19623,854,0.437359,0.173914,0.363497,0.04352
"57",23324,23184,140,5617,9467,10921,413,0.46823,0.240825,0.405891,0.037817
"58",52367,52087,280,9380,18069,22755,1040,0.434529,0.17912,0.345046,0.045704
"59",155202,153537,1665,17985,36292,47336,1956,0.304996,0.115881,0.233837,0.041322
"6",135292,132697,2595,16400,34682,45217,1841,0.334218,0.121219,0.256349,0.040715
"60",63755,63552,203,14956,28191,34428,1778,0.540005,0.234586,0.442177,0.051644
"61",30008,29889,119,7932,14985,18107,898,0.603406,0.26433,0.499367,0.049594
"62",18747,18651,96,5257,10073,11984,576,0.639249,0.280418,0.537313,0.048064
"63",21538,21463,75,5608,11422,13564,638,0.629771,0.260377,0.530319,0.047036
"64",42391,40932,1459,9542,17087,20015,1154,0.472152,0.225095,0.403081,0.057657
"65",33742,33640,102,8262,17722,21882,921,0.648509,0.244858,0.525221,0.042089
"66",28583,28482,101,7290,13836,16529,773,0.578281,0.255047,0.484064,0.046766
"67",120743,120028,715,20025,37137,47311,1649,0.391832,0.165848,0.307571,0.034854
"68",30520,30383,137,6267,11950,14723,698,0.482405,0.205341,0.391547,0.047409
"69",22589,22509,80,6310,11583,13695,897,0.606269,0.27934,0.512772,0.065498
"7",56493,56118,375,7076,16706,21303,889,0.377091,0.125254,0.295718,0.041731
"70",40899,40656,243,7252,14404,17540,923,0.428861,0.177315,0.352185,0.052623
"79",133277,132277,1000,17319,37705,47943,1727,0.359724,0.129947,0.282907,0.036022
"8",65799,65226,573,8990,21742,27278,1147,0.414566,0.136628,0.330431,0.042049
"80",15749,15679,70,3258,8130,10254,286,0.651089,0.20687,0.516223,0.027892
"81",68235,67912,323,14047,27188,32827,1235,0.481087,0.205862,0.398447,0.037621
"82",15174,15087,87,3343,7347,8845,254,0.582905,0.220311,0.484183,0.028717
"83",46994,46719,275,8245,15697,19476,686,0.414436,0.175448,0.334021,0.035223
"84",23960,23915,45,4636,11773,14160,492,0.590985,0.193489,0.491361,0.034746
"9",126663,125880,783,16657,36938,46920,1951,0.370432,0.131506,0.291624,0.041581
"national",3456011,3429748,26263,567711,1178808,1486315,67863,0.430067,0.164268,0.341089,0.045659
