electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
22,1,1,free_georgia,რადა ბაირამოვა,რადა,ბაირამოვა,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
22,5,5,unm,აზერ სულეიმანოვი,აზერ,სულეიმანოვი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
22,10,10,christian_democrats_2012,ვაგიფ მამედოვი,ვაგიფ,მამედოვი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
22,24,24,new_rights_2012,ისლამ ახუნდოვი,ისლამ,ახუნდოვი,"24. ""ახალი მემარჯვენეები"""
22,35,35,future_georgia,რუსლან ზედგენიძე,რუსლან,ზედგენიძე,35. ”მომავალი საქართველო”
22,38,38,labour,მეხტი ასკეროვი,მეხტი,ასკეროვი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
22,41,41,gd,მახირ დარზიევი,მახირ,დარზიევი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
23,4,4,ndp_2012,ბესიკ ნებიერიძე,ბესიკ,ნებიერიძე,"4. ""ეროვნულ-დემოკრატიული პარტია"""
23,5,5,unm,კობა ნაყოფია,კობა,ნაყოფია,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
23,9,9,fair_georgia_2012,ალექსი ნაკანი,ალექსი,ნაკანი,"9. ""სამართლიანი საქართველოსთვის"""
23,10,10,christian_democrats_2012,რომან აბდუშელიშვილი,რომან,აბდუშელიშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
23,24,24,new_rights_2012,კობა ტოგონიძე,კობა,ტოგონიძე,"24. ""ახალი მემარჯვენეები"""
23,38,38,labour,ამირან გელენიძე,ამირან,გელენიძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
23,41,41,gd,დარეჯან ჩხეტიანი,დარეჯან,ჩხეტიანი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
24,1,1,free_georgia,დავით ბარბაქაძე,დავით,ბარბაქაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
24,5,5,unm,კახაბერ ოქრიაშვილი,კახაბერ,ოქრიაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
24,24,24,new_rights_2012,ანზორ ნიკოლოზიანი,ანზორ,ნიკოლოზიანი,"24. ""ახალი მემარჯვენეები"""
24,36,36,workers_socialist,რევაზ ნაცარიშვილი,რევაზ,ნაცარიშვილი,36. ”საქართველოს მშრომელთა საბჭო”
24,38,38,labour,მერაბ სააკაძე,მერაბ,სააკაძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
24,41,41,gd,პაატა ხიზანაშვილი,პაატა,ხიზანაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
25,1,1,free_georgia,ჯემალ ვანაძე,ჯემალ,ვანაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
25,5,5,unm,რევაზ შავლოხაშვილი,რევაზ,შავლოხაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
