"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
509,5,1,9,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ხვიჩა სანაია","ხვიჩა","სანაია"
509,5,1,9,"7","national_council_2010","“ეროვნული საბჭო”","ლიანა ნიკოლაიშვილი","ლიანა","ნიკოლაიშვილი"
509,5,1,9,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","ნანა მათიაშვილი","ნანა","მათიაშვილი"
509,5,1,9,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ნოდარ ცოტნიაშვილი","ნოდარ","ცოტნიაშვილი"
509,5,1,9,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","მიხეილ სურმავა","მიხეილ","სურმავა"
509,5,1,9,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","უჩა ხუციშვილი","უჩა","ხუციშვილი"
509,5,1,9,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ავთანდილ ჩუბინიძე","ავთანდილ","ჩუბინიძე"
510,5,1,10,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ლევან იზორია","ლევან","იზორია"
510,5,1,10,"3","industry_sakartvelo","თოფაძე-მრეწველები","გოჩა კალანდაძე","გოჩა","კალანდაძე"
510,5,1,10,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ზურაბ გაჩეჩილაძე","ზურაბ","გაჩეჩილაძე"
510,5,1,10,"7","national_council_2010","“ეროვნული საბჭო”","როსტომ ჟორდანია","როსტომ","ჟორდანია"
510,5,1,10,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","როდამი ოქროჯანაშვილი","როდამი","ოქროჯანაშვილი"
510,5,1,10,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","დავით გოჩიტაშვილი","დავით","გოჩიტაშვილი"
510,5,1,10,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ლია ხუნწარია","ლია","ხუნწარია"
510,5,1,10,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","შოთა ხაბარელი","შოთა","ხაბარელი"
611,6,1,11,"3","industry_sakartvelo","თოფაძე-მრეწველები","ციცინო ნუცუბიძე","ციცინო","ნუცუბიძე"
611,6,1,11,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ირაკლი ნადირაძე","ირაკლი","ნადირაძე"
611,6,1,11,"7","national_council_2010","“ეროვნული საბჭო”","გულნარა ფერიაშვილი","გულნარა","ფერიაშვილი"
611,6,1,11,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","არჩილ მანწკავა","არჩილ","მანწკავა"
