self_governing_unit,vote_type,candidate_name,candidate_political_party,majoritarian_district_id
12,sakrebulo smd,ბესიკ ფოცხვერაშვილი,ქართული ოცნება,12.04
12,sakrebulo smd,თეიმურაზ ქევხიშვილი,ქართული ოცნება,12.05
12,sakrebulo smd,ლევანი რუსიშვილი,ქართული ოცნება,12.06
12,sakrebulo smd,კობა ჟამურაშვილი,ქართული ოცნება,12.07
12,sakrebulo smd,ზაქარა შოშიაშვილი,ქართული ოცნება,12.08
12,sakrebulo smd,ლევანი ხაზიური,ქართული ოცნება,12.09
12,sakrebulo smd,ვანო ბურდიაშვილი,ქართული ოცნება,12.10
12,sakrebulo smd,ვლადიმერი მუსალბიშვილი,ქართული ოცნება,12.11
12,sakrebulo smd,ბადრი სონღულაშვილი,ქართული ოცნება,12.12
12,sakrebulo smd,ზურაბი მუხულიშვილი,ქართული ოცნება,12.13
12,sakrebulo smd,ზურაბი წინწალაშვილი,ქართული ოცნება,12.14
12,sakrebulo smd,ვანო ბერიძიშვილი,ქართული ოცნება,12.15
12,sakrebulo smd,"ალექსანდრე
ბასილაშვილი",ქართული ოცნება,12.16
12,sakrebulo smd,გიგა მირაშვილი,ქართული ოცნება,12.17
12,sakrebulo smd,გიგა მესხიშვილი,ქართული ოცნება,12.18
12,sakrebulo smd,გივი რამაზაშვილი,ქართული ოცნება,12.19
12,sakrebulo smd,ზურაბი ბადრიაშვილი,ქართული ოცნება,12.2
12,sakrebulo smd,ლევანი თევდორაშვილი,ქართული ოცნება,12.21
12,sakrebulo smd,ვაჟა მამისაშვილი,ქართული ოცნება,12.22
12,sakrebulo smd,"ალექსანდრე
მთივლიშვილი",ქართული ოცნება,12.23
12,sakrebulo smd,ვაჟა მაჩხაშვილი,ქართული ოცნება,12.24
13,sakrebulo pr,ივანე მირიანაშვილი,ქართული ოცნება,
13,sakrebulo pr,ლია ბეჟაშვილი,ქართული ოცნება,
13,sakrebulo pr,გია პავლიაშვილი,ქართული ოცნება,
13,sakrebulo pr,გიორგი ასანიშვილი,ქართული ოცნება,
13,sakrebulo pr,მზია სუხიშვილი,ქართული ოცნება,
13,sakrebulo pr,მალხაზი ხუციშვილი,ქართული ოცნება,
13,sakrebulo pr,მალხაზ მჭედლიშვილი,ქართული ოცნება,
13,sakrebulo pr,გივი ქავთარაძე,ქართული ოცნება,
13,sakrebulo pr,მადონა ბატიაშვილი,ქართული ოცნება,
13,sakrebulo pr,შოთა ბეგიაშვილი,ქართული ოცნება,
13,sakrebulo pr,კახაბერი ოტიაშვილი,ქართული ოცნება,
13,sakrebulo pr,გოჩა ტოკლიკიშვილი,ქართული ოცნება,
13,sakrebulo pr,გიგა ბაკაშვილი,ქართული ოცნება,
13,sakrebulo pr,ეკა ბაკაშვილი,ქართული ოცნება,
13,sakrebulo pr,გოჩა ფხოველიშვილი,ძლიერი საქართველო-ლელო,
13,sakrebulo smd,ცოტნე ბეჟაშვილი,ქართული ოცნება,13.01
13,sakrebulo smd,მიხეილი კუტიბაშვილი,ქართული ოცნება,13.02
13,sakrebulo smd,ვლადიმერ სიმონიშვილი,ქართული ოცნება,13.03
13,sakrebulo smd,გელა ლეკიაშვილი,ქართული ოცნება,13.04
13,sakrebulo smd,გოჩა ხოსიტაშვილი,ქართული ოცნება,13.05
13,sakrebulo smd,ნანა ნანობაშვილი,ქართული ოცნება,13.06
13,sakrebulo smd,დავითი ჯანიკაშვილი,ქართული ოცნება,13.07
13,sakrebulo smd,ნინო ბახტურიძე,ქართული ოცნება,13.08
13,sakrebulo smd,გიორგი სპანდერაშვილი,ქართული ოცნება,13.09
13,sakrebulo smd,მარინე ათანელიშვილი,ქართული ოცნება,13.10
13,sakrebulo smd,ილია ბაიდოშვილი,ქართული ოცნება,13.11
13,sakrebulo smd,გოჩა შანშაშვილი,ქართული ოცნება,13.12
13,sakrebulo smd,ირაკლი ზურაშვილი,ქართული ოცნება,13.13
13,sakrebulo smd,გიორგი ელაშვილი,ქართული ოცნება,13.14
14,sakrebulo pr,ნუგზარი პაპიაშვილი,ქართული ოცნება,
14,sakrebulo pr,დავით ალუღიშვილი,ქართული ოცნება,
14,sakrebulo pr,მაია ცისკარაული,ქართული ოცნება,
14,sakrebulo pr,ზურაბ თეთვაძე,ქართული ოცნება,
14,sakrebulo pr,გიორგი ჯანაშვილი,ქართული ოცნება,
14,sakrebulo pr,ლელა ჭინჭარაული,ქართული ოცნება,
14,sakrebulo pr,ნონა პოპიაშვილი,ქართული ოცნება,
14,sakrebulo pr,მამუკა ყავრელიშვილი,ქართული ოცნება,
14,sakrebulo pr,მაკა ჯანაშვილი,ქართული ოცნება,
14,sakrebulo pr,მიხეილ ბახუტაშვილი,ქართული ოცნება,
14,sakrebulo pr,ლალი იაკობიშვილი- ჩერქეზიშვილი,ქართული ოცნება,
14,sakrebulo pr,დავით გონაშვილი,ქართული ოცნება,
14,sakrebulo pr,მაია სიმონიძე,ქართული ოცნება,
14,sakrebulo pr,კახა წიკლაური,ქართული ოცნება,
14,sakrebulo pr,ალეკო ნატროშვილი,ძლიერი საქართველო-ლელო,
14,sakrebulo smd,გოჩა სამუკაშვილი,ქართული ოცნება,14.01
14,sakrebulo smd,მამუკა სეფიაშვილი,ქართული ოცნება,14.02
14,sakrebulo smd,ივანე ნატროშვილი,ქართული ოცნება,14.03
14,sakrebulo smd,არსენა ბაღაშვილი,ქართული ოცნება,14.04
14,sakrebulo smd,ირინე ფოცხვერაშვილი,ქართული ოცნება,14.05
14,sakrebulo smd,გივი გიგაური,ქართული ოცნება,14.06
14,sakrebulo smd,გიორგი გოგილაშვილი,ქართული ოცნება,14.07
14,sakrebulo smd,სიმონ ყოჩიაშვილი,ქართული ოცნება,14.08
14,sakrebulo smd,ნიკოლოზ ხუციშვილი,ქართული ოცნება,14.09
14,sakrebulo smd,სიმონ წიკლაური,ქართული ოცნება,14.10
14,sakrebulo smd,ავთანდილ ხუმარაშვილი,ქართული ოცნება,14.11
14,sakrebulo smd,მანუჩარი დუმბაძე,ქართული ოცნება,14.12
14,sakrebulo smd,ვასილი ჩოვუშიან,ქართული ოცნება,14.13
