party_id,name_en,name_ka,type,color,in_registry,election_yaml_count,result_csv_count,candidate_csv_count,elections_count,elections,source_kinds,aliases_en,aliases_ka,yaml_files,sample_result_files,sample_candidate_files
mamuka_chokhonelidze,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
mamuka_melikishvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
mekhatishvili,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
meunargia,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
mikheil_antadze,,,,,no,0,2,0,0,,result_csv,,,,src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,
mikheil_saluashvili,,,,,no,0,2,1,0,,candidate_csv|result_csv,,,,src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv,src/data/candidates/pres2013_candidates.csv
mtatsminda_2019_13,,,,#D55E00,no,1,4,0,1,parl_2016,election_yaml_parties|result_csv,Shalva Shavgulidze,შალვა შავგულიძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv|src/data/results/parl2016_mtatsminda_2019_smd_runoff.csv|src/data/results/parl2016_mtatsminda_2019_smd_runoff_precincts.csv,
mtatsminda_2019_17,,,,#8D6E63,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Giorgi Liluashvili,გიორგი ლილუაშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_21,,,,#78909C,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Giorgi Shalikashvili,გიორგი შალიკაშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_23,,,,#EC407A,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Tebea Tengiani,თებეა თენგიანი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
