party_id,name_en,name_ka,type,color,in_registry,election_yaml_count,result_csv_count,candidate_csv_count,elections_count,elections,source_kinds,aliases_en,aliases_ka,yaml_files,sample_result_files,sample_candidate_files
mtatsminda_2019_24,,,,#5C6BC0,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Mamuka Tuskadze,მამუკა ტუსკაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_27,,,,#9CCC65,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Valisa Ghvinjilia,ვალისა ღვინჯილია,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_28,,,,#FFB74D,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Mikheil Saluashvili,მიხეილ სალუაშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_31,,,,#4DB6AC,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Irma Razmadze,ირმა რაზმაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_33,,,,#9575CD,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Jemal Nadareishvili,ჯემალ ნადარეიშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_35,,,,#00AEEF,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Germane Sabo,გერმანე საბო,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_38,,,,#A1887F,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Nodar Inaneishvili,ნოდარ ინანეიშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_4,,,,#7E57C2,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Nita Sikharulidze,ნიტა სიხარულიძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_41,,,,#1565C0,no,1,4,0,1,parl_2016,election_yaml_parties|result_csv,Vladimer Kakhadze,ვლადიმერ კახაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv|src/data/results/parl2016_mtatsminda_2019_smd_runoff.csv|src/data/results/parl2016_mtatsminda_2019_smd_runoff_precincts.csv,
mtatsminda_2019_42,,,,#43A047,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Levan Ioseliani,ლევან იოსელიანი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_43,,,,#F06292,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Koba Davitashvili,კობა დავითაშვილი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_44,,,,#7986CB,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Sopio Khorguani,სოფიო ხორგუანი,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_45,,,,#00897B,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Grigol Gegelia,გრიგოლ გეგელია,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_46,,,,#BDBDBD,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Ioseb Koberidze,იოსებ კობერიძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_47,,,,#FDD835,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Tamar Alpaidze,თამარ ალფაიძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
mtatsminda_2019_9,,,,#26A69A,no,1,2,0,1,parl_2016,election_yaml_parties|result_csv,Giorgi Andriadze,გიორგი ანდრიაძე,src/data/config/elections/parliamentary/parl_2016.yml,src/data/results/parl2016_mtatsminda_2019_smd.csv|src/data/results/parl2016_mtatsminda_2019_smd_precincts.csv,
natelashvili,,,,,no,0,6,2,0,,candidate_csv|result_csv,,,,src/data/results/pres2008.csv|src/data/results/pres2008_precincts.csv|src/data/results/pres2013.csv|src/data/results/pres2013_precincts.csv|src/data/results/pres2018_r1.csv|src/data/results/pres2018_r1_precincts.csv,src/data/candidates/pres2008_candidates.csv|src/data/candidates/pres2013_candidates.csv
